,host_location,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,en_bookable__f,en_bookable__t,en_id_ver__f,en_id_ver__t,en_room_type__Entire home/apt,en_room_type__Hotel room,en_room_type__Private room,en_available__f,en_available__t,en_profilepic__f,en_profilepic__t,en_prop_type__Boat,en_prop_type__Camper/RV,en_prop_type__Casa particular,en_prop_type__Dome,en_prop_type__Entire bungalow,en_prop_type__Entire cabin,en_prop_type__Entire chalet,en_prop_type__Entire condo,en_prop_type__Entire cottage,en_prop_type__Entire guest suite,en_prop_type__Entire guesthouse,en_prop_type__Entire home,en_prop_type__Entire loft,en_prop_type__Entire place,en_prop_type__Entire rental unit,en_prop_type__Entire serviced apartment,en_prop_type__Entire townhouse,en_prop_type__Entire vacation home,en_prop_type__Entire villa,en_prop_type__Farm stay,en_prop_type__Houseboat,en_prop_type__Island,en_prop_type__Private room,en_prop_type__Private room in barn,en_prop_type__Private room in bed and breakfast,en_prop_type__Private room in boat,en_prop_type__Private room in bungalow,en_prop_type__Private room in casa particular,en_prop_type__Private room in chalet,en_prop_type__Private room in condo,en_prop_type__Private room in cottage,en_prop_type__Private room in earthen home,en_prop_type__Private room in farm stay,en_prop_type__Private room in guest suite,en_prop_type__Private room in guesthouse,en_prop_type__Private room in home,en_prop_type__Private room in loft,en_prop_type__Private room in minsu,en_prop_type__Private room in rental unit,en_prop_type__Private room in resort,en_prop_type__Private room in serviced apartment,en_prop_type__Private room in tiny home,en_prop_type__Private room in townhouse,en_prop_type__Private room in vacation home,en_prop_type__Private room in villa,en_prop_type__Religious building,en_prop_type__Room in aparthotel,en_prop_type__Room in bed and breakfast,en_prop_type__Room in boutique hotel,en_prop_type__Room in hotel,en_prop_type__Room in serviced apartment,en_prop_type__Shipping container,en_prop_type__Tiny home,en_res_time__a few days or more,en_res_time__within a day,en_res_time__within a few hours,en_res_time__within an hour,en_issuperhost__f,en_issuperhost__t
117135,"Paris, France",100,95,2.0,2.0,6,3.0,3.0,450,5,14,5.0,5.0,14.0,14.0,5.0,14.0,0,10,20,20,0,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,0,0,1.0,True,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
117149,"Bordeaux, France",100,87,2.0,2.0,4,2.0,2.0,135,2,365,2.0,2.0,365.0,365.0,2.0,365.0,3,6,9,16,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2,2,0,0,0.71,True,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
117158,"Floirac, France",100,91,2.0,4.0,4,2.0,3.0,141,4,30,4.0,4.0,30.0,30.0,4.0,30.0,29,59,82,357,3,3,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2,2,0,0,2.57,True,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
117171,"Bordeaux, France",100,100,1.0,1.0,2,1.0,1.0,90,3,365,1.0,3.0,365.0,365.0,2.3,365.0,0,0,0,0,1,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,0,0,1.0,True,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
117179,Malta,100,100,1.0,2.0,2,1.0,1.0,45,3,30,3.0,3.0,30.0,30.0,3.0,30.0,27,57,87,362,0,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,0,1,0,1.0,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
117192,"Bordeaux, France",100,100,1.0,1.0,2,1.0,1.0,73,1,15,1.0,1.0,15.0,15.0,1.0,15.0,21,34,64,336,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,0,0,0.81,True,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
117197,"Bordeaux, France",100,100,6.0,7.0,6,3.0,3.0,186,3,30,2.0,2.0,1125.0,1125.0,2.0,1125.0,18,44,74,164,0,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,5,0,0,1.0,False,True,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
117203,"Bordeaux, France",100,100,1.0,1.0,2,1.0,1.0,72,5,365,5.0,5.0,365.0,365.0,5.0,365.0,9,18,23,68,0,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,0,0,1.0,True,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
117210,"Bordeaux, France",100,100,1.0,1.0,6,3.0,3.0,149,3,15,3.0,3.0,15.0,15.0,3.0,15.0,23,47,69,314,3,3,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,0,0,2.09,True,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
117211,"Villenave-d'Ornon, France",100,100,1.0,1.0,2,1.0,1.0,50,1,1,1.0,1.0,1.0,1.0,1.0,1.0,4,17,47,47,0,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,0,1,0,1.0,True,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
